Intensity	Time	Replicate	Area
Light	T0	R1	0,010286
Light	T1	R1	0,007857
Light	T2	R1	0,009143
Light	T3	R1	0,017286
Light	T4	R1	0,010286
Light	T0	R2	0,011125
Light	T1	R2	0,011875
Light	T2	R2	0,01175
Light	T3	R2	0,012375
Light	T4	R2	0,0115
Light	T0	R3	0,009143
Light	T1	R3	0,009571
Light	T2	R3	0,009571
Light	T3	R3	0,008429
Light	T4	R3	0,010571
Medium	T0	R1	0,011143
Medium	T1	R1	0,013571
Medium	T2	R1	0,014143
Medium	T3	R1	0,013429
Medium	T4	R1	0,012429
Medium	T0	R2	0,012167
Medium	T1	R2	0,015333
Medium	T2	R2	0,012286
Medium	T3	R2	0,013286
Medium	T4	R2	0,011571
Medium	T0	R3	0,011833
Medium	T1	R3	0,011833
Medium	T2	R3	0,0145
Medium	T3	R3	0,0115
Medium	T4	R3	0,0115
Heavy	T0	R1	0,011714
Heavy	T1	R1	0,012286
Heavy	T2	R1	0,011125
Heavy	T3	R1	0,01275
Heavy	T4	R1	0,0135
Heavy	T0	R2	0,010714
Heavy	T1	R2	0,011429
Heavy	T2	R2	0,010714
Heavy	T3	R2	0,008143
Heavy	T4	R2	0,011143
Heavy	T0	R3	0,009833
Heavy	T1	R3	0,0115
Heavy	T4	R3	0,007833
Control	T0	R1	0,008833
Control	T1	R1	0,008833
Control	T2	R1	0,008833
Control	T3	R1	0,0085
Control	T4	R1	0,0085
Control	T0	R2	0,009625
Control	T1	R2	0,010375
Control	T2	R2	0,0105
Control	T3	R2	0,010125
Control	T4	R2	0,00975
Control	T0	R3	0,012429
Control	T1	R3	0,012429
Control	T2	R3	0,012429
Control	T3	R3	0,012429
Control	T4	R3	0,012143
