Intensity	Time	Replicate	Integrity Score
Light	T0	1	4.571
Light	T0	2	4.875
Light	T0	3	3.714
Light	T1	1	4.571
Light	T1	2	4.625
Light	T1	3	3.857
Light	T2	1	4.571
Light	T2	2	4.375
Light	T2	3	4.143
Light	T3	1	4.286
Light	T3	2	4.250
Light	T3	3	3.857
Light	T4	1	4.429
Light	T4	2	4.625
Light	T4	3	3.714
Medium	T0	1	3.857
Medium	T0	2	4.000
Medium	T0	3	3.500
Medium	T1	1	3.714
Medium	T1	2	3.667
Medium	T1	3	3.000
Medium	T2	1	3.571
Medium	T2	2	3.429
Medium	T2	3	2.500
Medium	T3	1	3.286
Medium	T3	2	3.143
Medium	T3	3	2.500
Medium	T4	1	3.143
Medium	T4	2	3.000
Medium	T4	3	2.500
Heavy	T0	1	4.714
Heavy	T0	2	3.857
Heavy	T0	3	4.600
Heavy	T1	1	4.143
Heavy	T1	2	3.429
Heavy	T1	3	3.833
Heavy	T2	1	3.375
Heavy	T2	2	3.000
Heavy	T2	3	NA
Heavy	T3	1	3.125
Heavy	T3	2	3.000
Heavy	T3	3	NA
Heavy	T4	1	3.250
Heavy	T4	2	2.333
Heavy	T4	3	2.333
Control	T0	1	4.667
Control	T0	2	4.625
Control	T0	3	4.286
Control	T1	1	4.667
Control	T1	2	4.625
Control	T1	3	4.286
Control	T2	1	4.667
Control	T2	2	4.500
Control	T2	3	4.286
Control	T3	1	4.667
Control	T3	2	4.375
Control	T3	3	4.286
Control	T4	1	4.667
Control	T4	2	4.500
Control	T4	3	4.286
